"LA MAÎTRISE DE LA LANGUE FRANÇAISE",,,
,"DIRE",,
,,"S’exprimer clairement à l’oral en utilisant un vocabulaire approprié",
,,,"S’exprimer avec précision pour se faire comprendre dans les activités scolaires."
,,,"Partager le sens des mots, s’exprimer à l’oral pour communiquer dans un cercle élargi"
,,,"Faire un récit structuré (relations causales, circonstances temporelles et spatiales précises) et compréhensible pour un tiers ignorant des faits rapportés ou de l’histoire racontée."
,,"Participer en classe à un échange verbal en respectant les règles de communication",
,,,"Participer à un échange : questionner, apporter des réponses, écouter et donner un point de vue en respectant les règles de communication."
,,"Dire de mémoire quelques textes en prose ou poèmes courts",
,,,"Réciter des textes en prose ou des poèmes (une dizaine), en les interprétant avec l’intonation."
,"LIRE",,
,,"Lire seul, à haute voix, un texte comprenant des mots connus et inconnus",
,,,"Participer à une lecture dialoguée : articulation correcte, fluidité, respect de la ponctuation, intonation appropriée."
,,"Lire seul et écouter lire des textes du patrimoine et des œuvres intégrales de la littérature de jeunesse, adaptés à son âge.",
,,,"Écouter et lire des œuvres intégrales courtes ou de  larges extraits d’œuvres plus longues"
,,,"Lire ou écouter lire des œuvres intégrales, notamment de littérature de jeunesse et rendre compte de sa lecture."
,,,"Connaître et utiliser le vocabulaire spécifique de la lecture d’un texte : le livre, la couverture, la page, la ligne ; l’auteur, le titre ; le texte, la phrase, le mot ; le début, la fin, le personnage, l’histoire."
,,"Lire seul et comprendre un énoncé, une consigne simple",
,,,"Lire silencieusement un énoncé, une consigne et comprendre ce qui est attendu."
,,"Dégager le thème d’un paragraphe ou d’un texte court.",
,,,"Dire de qui ou de quoi parle le texte lu"
,,,"Reformuler le sens du texte ou paragraphe."
,,"Lire silencieusement un texte en déchiffrant les mots inconnus et manifester sa compréhension dans un résumé, une reformulation, des réponses à des questions",
,,,"Identifier les personnages, les événements et les circonstances temporelles et spatiales d’un récit qu’on a lu."
,,,"Comparer un texte nouvellement entendu ou lu avec un ou des textes connus (thèmes, personnages, événements, fins)."
,"ECRIRE",,
,,"Copier un texte court sans erreur dans une écriture cursive lisible et avec une présentation soignée.",
,,,"Copier un texte court (par mots entiers ou groupes de mots) en respectant l’orthographe, la ponctuation, les majuscules et en soignant la présentation."
,,,"Copier avec soin, en respectant la mise en page, un texte en prose ou poème."
,,"Utiliser ses connaissances pour mieux écrire un texte court",
,,,"Relire sa production et la corriger ; corriger en fonction des indications données un texte copié ou rédigé de manière autonome."
,,,"Écrire sans erreur, sous la dictée, des phrases ou un court texte (5 lignes), préparés ou non, en utilisant ses connaissances lexicales, orthographiques et grammaticales"
,,"Écrire de manière autonome un texte de cinq à dix lignes",
,,,"Concevoir et écrire de manière autonome un texte narratif ou explicatif de cinq à dix lignes.
Les élèves apprennent à rédiger de manière autonome un texte court : rechercher et organiser des idées, choisir du vocabulaire, construire et enchaîner des phrases, prêter attention à l’orthographe. "
,"Étude de la langue : Vocabulaire",,
,,"Utiliser des mots précis pour s’exprimer",
,,,"Classer les noms par catégories sémantiques larges (noms de personnes, noms d’animaux, noms de choses…) ou plus étroites et se référant au monde"
,,"Donner des synonymes",
,,,"Trouver un mot de sens proche pour un adjectif qualificatif, un verbe d’action ou pour un nom."
,,,"Donner des synonymes (par exemple pour reformuler le sens d’un texte ou pour améliorer une expression orale ou écrite)."
,,"Trouver un mot de sens opposé",
,,,"Trouver un mot de sens opposé pour un adjectif qualificatif, un verbe d’action ou pour un nom."
,,"Regrouper des mots par familles",
,,,"Regrouper des mots par familles."
,,,"Trouver un ou des mots d’une famille donnée."
,,"Commencer à utiliser l’ordre alphabétique",
,,,"Commencer à utiliser l’ordre alphabétique pour vérifier dans un dictionnaire l’écriture d’un mot ou en chercher le sens."
,"Étude de la langue : Grammaire",,
,,"Identifier la phrase, le verbe, le nom, l’article, l’adjectif qualificatif, le pronom personnel (sujet)",
,,,"Identifier les phrases d’un texte."
,,,"Distinguer les principales classes des mots selon leur nature."
,,,"Repérer les fonctions. "
,,,"Repérer les marques du genre et du nombre.
"
