"LA MAÎTRISE DE LA LANGUE FRANÇAISE",,,,,
,"Dire",,,,
,,"S’exprimer à l’oral comme à l’écrit dans un vocabulaire approprié et précis",,,
,,,"Raconter, décrire, exposer : Décrire un objet, présenter un travail à la classe en s’exprimant en phrases correctes et dans un vocabulaire approprié.",,
,,"Prendre la parole en respectant le niveau de langue adapté",,,
,,,"Prendre la parole devant d’autres élèves et à bon escient : adapter ses propos en fonction de ses interlocuteurs et de ses objectifs.",,
,,"Répondre à une question par une phrase complète à l’oral",,,
,,,"Écouter, prendre en compte ce qui a été dit et répondre à une question par une phrase complète à l’oral.",,
,,"Prendre part à un dialogue : prendre la parole devant les autres, écouter autrui, formuler et justifier un point de vue",,,
,,,"Échanger, débattre : Participer aux échanges de manière constructive ",,
,,,,"Échanger, débattre : Demander et prendre la parole à bon escient",
,,,,"Échanger, débattre : Questionner pour mieux comprendre",
,,,,"Échanger, débattre : Rester dans le sujet",
,,,,"Échanger, débattre : Situer son propos par rapport aux autres",
,,,,"Échanger, débattre : Apporter des arguments",
,,,,"Échanger, débattre : Mobiliser des connaissances",
,,,,"Échanger, débattre : Respecter les règles habituelles de la communication",
,,"Dire de mémoire, de façon expressive, une dizaine de poèmes et de textes en prose",,,
,,,"Réciter : Dire sans erreur et de manière expressive des textes en prose ou des poèmes (une dizaine).",,
,"Lire",,,,
,,"Lire avec aisance (à haute voix, silencieusement) un texte",,,
,,,"Lire à haute voix avec fluidité et de manière expressive un texte de plus de dix lignes après préparation.",,
,,,"Lire silencieusement un texte littéraire ou documentaire et le comprendre (reformuler, résumer, répondre à des questions sur ce texte).",,
,,"Lire seul des textes du patrimoine et des œuvres intégrales de la littérature de jeunesse, adaptés à son âge",,,
,,,"Lire au moins cinq ouvrages dans l’année scolaire et en rendre compte ; choisir un extrait caractéristique et le lire à haute voix.",,
,,,"Expliciter des choix de lecture, des préférences.",,
,,,"Raconter de mémoire une œuvre lue, citer de mémoire un court extrait caractéristique. ",,
,,,"Rapprocher des œuvres littéraires, à l’oral et à l’écrit.",,
,,"Lire seul et comprendre un énoncé, une consigne",,,
,,,"Comprendre des textes scolaires (énoncés de problèmes, consignes, leçons et exercices des manuels). ",,
